dataset_index,source_file,source_basename,source_parent,form_type,matched_intermediate,batch_index,record_id,review_required,num_rows,output_form_type
0,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1\ส.ส.5_17 บช ชุดที่ 1.pdf,ส.ส.5_17 บช ชุดที่ 1.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 1,party_list,True,0,file_00000,True,10,party_list
1,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2\ส.ส.5_17 บช ชุดที่ 2.pdf,ส.ส.5_17 บช ชุดที่ 2.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 2,party_list,True,1,file_00001,True,9,party_list
2,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 3\ส.ส.5_17 บช ชุดที่ 3.pdf,ส.ส.5_17 บช ชุดที่ 3.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 3,party_list,True,2,file_00002,True,10,party_list
3,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 4\ส.ส.5_17 บช ชุดที่ 4.pdf,ส.ส.5_17 บช ชุดที่ 4.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 4,party_list,True,3,file_00003,True,9,party_list
4,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 5\ส.ส.5_17 บช ขุดที่ 5.pdf,ส.ส.5_17 บช ขุดที่ 5.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 5,party_list,True,4,file_00004,True,8,party_list
5,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 7\ส.ส.5_17 บช ชุดที่ 7.pdf,ส.ส.5_17 บช ชุดที่ 7.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 7,party_list,True,5,file_00005,True,10,party_list
6,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 8\ส.ส.5_17 บช ชุดที่ 8.pdf,ส.ส.5_17 บช ชุดที่ 8.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 8,party_list,True,6,file_00006,True,10,party_list
7,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 9\ส.ส.5_17 บช ชุดที่ 9.pdf,ส.ส.5_17 บช ชุดที่ 9.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่ 9,party_list,True,7,file_00007,True,10,party_list
8,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่6\ส.ส.5_17 บช ชุดที่ 6.pdf,ส.ส.5_17 บช ชุดที่ 6.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 (บช) ชุดที่6,party_list,True,8,file_00008,True,8,party_list
9,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 1\ส.ส.5_17 ชุดที่ 1.pdf,ส.ส.5_17 ชุดที่ 1.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 1,constituency,True,9,file_00009,True,0,constituency
10,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 2\ส.ส.5_17 ชุดที่ 2.pdf,ส.ส.5_17 ชุดที่ 2.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 2,constituency,True,10,file_00010,True,0,constituency
11,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 3\ส.ส.5_17 ชุดที่ 3.pdf,ส.ส.5_17 ชุดที่ 3.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 3,constituency,True,11,file_00011,True,0,constituency
12,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 4\ส.ส.5_17 ชุดที่ 4.pdf,ส.ส.5_17 ชุดที่ 4.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 4,constituency,True,12,file_00012,True,0,constituency
13,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 5\ส.ส.5_17 ชุดที่ 5.pdf,ส.ส.5_17 ชุดที่ 5.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 5,constituency,True,13,file_00013,True,0,constituency
14,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 8\ส.ส.5_17 ชุดที่ 8.pdf,ส.ส.5_17 ชุดที่ 8.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 8,constituency,True,14,file_00014,True,0,constituency
15,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9\ส.ส.5_17 ชุดที่ 9.pdf,ส.ส.5_17 ชุดที่ 9.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่ 9,constituency,True,15,file_00015,True,5,constituency
16,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่6\ส.ส.5_17 ชุดที่ 6.pdf,ส.ส.5_17 ชุดที่ 6.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่6,constituency,True,16,file_00016,True,0,constituency
17,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่7\ส.ส.5_17 ชุดที่ 7.pdf,ส.ส.5_17 ชุดที่ 7.pdf,election_data\ล่วงหน้านอกเขตเลือกตั้งและนอกราชอาณาจักร\ส.ส.5-17 ชุดที่7,constituency,True,17,file_00017,True,0,constituency
18,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1\สส 5_18 บช หน่วยที่1.pdf,สส 5_18 บช หน่วยที่1.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,party_list,True,18,file_00018,True,9,party_list
19,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1\สส 5_18 หน่วยที่1.pdf,สส 5_18 หน่วยที่1.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 1,constituency,True,19,file_00019,True,6,constituency
20,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10\สส5_18 บช หน่วยที่10.pdf,สส5_18 บช หน่วยที่10.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,party_list,True,20,file_00020,True,11,party_list
21,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10\สส5_18 หน่วยที่10.pdf,สส5_18 หน่วยที่10.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 10,constituency,True,21,file_00021,True,2,constituency
22,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11\สส 5_18 บช หน่วยที่11.pdf,สส 5_18 บช หน่วยที่11.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,party_list,True,22,file_00022,True,10,party_list
23,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11\สส5_18 หน่วยที่11.pdf,สส5_18 หน่วยที่11.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 11,constituency,True,23,file_00023,True,5,constituency
24,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2\สส 5_18 หน่วยที่2.pdf,สส 5_18 หน่วยที่2.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,constituency,True,24,file_00024,True,0,constituency
25,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2\สส5_18 บช หน่วยที่2.pdf,สส5_18 บช หน่วยที่2.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 2,party_list,True,25,file_00025,True,11,party_list
26,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3\สส 5_18 บช หน่วยที่3.pdf,สส 5_18 บช หน่วยที่3.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,party_list,True,26,file_00026,True,11,party_list
27,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3\สส 5_18 หน่วยที่3.pdf,สส 5_18 หน่วยที่3.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 3,constituency,True,27,file_00027,True,6,constituency
28,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4\สส 5_18 หน่วยที่4.pdf,สส 5_18 หน่วยที่4.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,constituency,True,28,file_00028,True,6,constituency
29,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4\สส5_18 บช หน่วยที่4.pdf,สส5_18 บช หน่วยที่4.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 4,party_list,True,29,file_00029,True,11,party_list
30,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5\สส 5_18 บช หน่วยที่5.pdf,สส 5_18 บช หน่วยที่5.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,party_list,True,30,file_00030,True,11,party_list
31,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5\สส 5_18 หน่วยที่5.pdf,สส 5_18 หน่วยที่5.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 5,constituency,True,31,file_00031,True,5,constituency
32,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6\สส 5_18 บช หน่วยที่6.pdf,สส 5_18 บช หน่วยที่6.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,party_list,True,32,file_00032,True,10,party_list
33,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6\สส 5_18 หน่วยที่6.pdf,สส 5_18 หน่วยที่6.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 6,constituency,True,33,file_00033,True,4,constituency
34,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7\สส 5_18 บช หน่วยที่7.pdf,สส 5_18 บช หน่วยที่7.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,party_list,True,34,file_00034,True,8,party_list
35,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7\สส 5_18 หน่วยที่7.pdf,สส 5_18 หน่วยที่7.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 7,constituency,True,35,file_00035,True,6,constituency
36,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8\สส 5_18 หน่วยที่8.pdf,สส 5_18 หน่วยที่8.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,constituency,True,36,file_00036,True,5,constituency
37,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8\สส5_18 บช หน่วยที่8.pdf,สส5_18 บช หน่วยที่8.pdf,election_data\อำเภอทุ่งศรีอุดม\ตำบลกุดเรือ\หน่วยที่ 8,party_list,True,37,file_00037,True,5,party_list
